Author,Thread_Title,Content,Thread_URL
SilentScream,Ask the ENFJ's about anything.,"Everyone has questions. But they tend not to get asked. How about a sticky dedicated to asking us ENFJ's any kind of question. 

We'll answer them as well as we can. 

And as much as we like the believe, we don't have the answers to infinite wisdom and happiness .. and definitely no free rice pudding here 

But who knows ... if this thread survives long enough. I might bring out the Kool-Aid.",https://www.personalitycafe.com//threads/ask-the-enfjs-about-anything.70017/
X X,Chitchat Thread,"We need one of these to talk about random things, everything and nothing, without fear of derailing a thread and less serious topic (How we managed to go this long without one is beyond me)",https://www.personalitycafe.com//threads/chitchat-thread.136594/
Benedox,You know you're an ENFJ when...,"We needed one of these.  :tongue:  

You know you're an ENFJ when: 

1.  Sometimes you think you're too happy for this world, so much that you have to try and tone down your enthusiasm for fear of appearing insane.  
2. You feel like you could never run out of love for people and are amazed by how much you could care for each and every one of your friends.  
3. You get confused when people doubt your love for them even when you've showered them with more attention than anyone else.  (Ahem, INFPs...) 
4. You laugh too much... and sometimes get in trouble for it.
5. People are surprised to find out that you've got a little bit of depth to your personality.  :wink: 
6.  Your music taste is all over the place.  
7. There are some people in your life that you hug every time you see them, and you don't know why...
8. When you get emotional (both happy and sad), you speak a tad metaphorically.
9.  People quote you.  
10.  People somehow relate your presence to abstract things such as sunshine, lights and stars.  
11.  You love sending your friends mail.  
12.  Sometimes you smother your loved ones with so much attention that it embarrasses them, and you just think it's funny.  (Examples of an appropriate time to do this is at birthday parties...)
13.  You just go overboard in general.    
That's all I have for now.  

Your turn!",https://www.personalitycafe.com//threads/you-know-youre-an-enfj-when.23077/
Oleas,"ENFJs, Rant about your feelings in here...","All those times you can't keep your feelings bottled up and just wanna vent, come here. No themes, just say whatever you wanna say.


As for me, I fucking hate this week. I don't wanna talk to anyone, I feel like shit, I'm being treated like crap at college (I've just been moved from one project to another even though I've spent weeks working on the former)... I just feel lonely and angry and really wanna scream... Obviously no one understands I'm in a bad mood, because I have to be ""nice"". Well, I'm not making any efforts, and the frown on my face is staying there.

*hugs other ENFJs*",https://www.personalitycafe.com//threads/enfjs-rant-about-your-feelings-in-here.36156/
KC,Ask ENFJs for Relationship Advice on ENFJs,"Welcome, this is the definitive ask ENFJs about relationship advice regarding ENFJs thread. 

Here, we ENFJs will do our best to listen to all your posts about potential ENFJs and your relationship problems or questions you might have and answer them as best we can. 

So just start by leaving your stories here, and give them a title (there is a little title bar when you click under ""go advanced"" in the reply section) so that we can help distinguish between new stories and old ones for other people who might need ENFJ relationship advice as well. 

We'll be looking forward to helping you guys as best we can :3

DISCLAIMER

Thanks a bunch to @dulcinea for this. 



dulcinea said:



			If you guys don't mind, I'd like to mention a few ""disclaimers"" to anyone who would post a question. 

Okay first of all (and I see this mentioned a LOT!) are you sure this  person is an ENFJ? I know something I've been seeing Jawz mention a lot  lately is that other types such as ESFJ's, ESFPs, INFJs, and, I think, ENFPs get mistyped as ENFJs often.

Also, just because a person is an ENFJ don't expect them to somehow have  more insight into your ENFJ than you do. If you're in a relationship with a person, you're going to see a lot of the aspects to that person that  would motivate them in the things they do just as much as they're  jungian type or mbti.

A person's mbti is limited in what it can explain about a person, and  there are so many different aspects to a person than just 16 dimensions.  KC Tan mentioned in his answer a couple of factors such as enneagram (a  type 6 w 7 ENFJ might respond totally differently from a type 1w2 or  type 2w3 ENFJ) and also culture. 

I find the gender of a person makes a difference, sexual orientation, and also upbringing. I've never actually  seen it brought up too much in PerC, but I would imagine the  personalities on one's parents might have a bearing on how a person views a relationship, particularly when dealing with a particular type.

Also, it's not a good idea to treat the responses to a started thread   like it's the Oracle of Delphi. I mean, even if every ENFJ on the thread   says ""I would do this, this, this and this."" to a particular   situation, it doesn't necessarily mean that's how your ENFJ will respond. I find it's good to take everything stated with a grain of salt
		
Click to expand...",https://www.personalitycafe.com//threads/ask-enfjs-for-relationship-advice-on-enfjs.76985/
roxasquall,ENFJ Stereotypes,So I've been snooping around many forums and there tends to be stereotypes for many of the personality types....do we have stereotypes besides awesomeness? :laughing:,https://www.personalitycafe.com//threads/enfj-stereotypes.17034/
Happy about Nothing.,ENFJ Pictures.,"I know we're camera shy around here. I'm a little concerned that this thread will go nowhere. lol. However, it seems like most of the other forums have one of these, so I figured I'd give it a try. Post if you'd like!

Me!
View attachment 22454
View attachment 22455
View attachment 22456
View attachment 22457
View attachment 22458

Me and my INTJ friend. That's the biggest smile he can muster. 

My name in candles is proof that an INTJ can be romantic.
:]",https://www.personalitycafe.com//threads/enfj-pictures.67052/
skogprinsessa,Where are all the ENFJ videos???,'Cause I'm an INFP and I need to know how to spot you! :tongue:,https://www.personalitycafe.com//threads/where-are-all-the-enfj-videos.23274/
Kalifornia310,ENFJ motivational poster time!!!!,,https://www.personalitycafe.com//threads/enfj-motivational-poster-time.15491/
sparkling-demeanour,"ENFJ, do you struggle to connect deeply with ESTJ & ENTJ?","I observed my ESTJ colleague try for years to connect with my boss. I kind of pity the ESTJ, as she is very enthusiastic with the idea of making her workplace a “family”. 

I’m also a Te dom like her, and I’ve also noticed our boss is on a totally different wavelength (though I don’t give a hoot personally as I’m not into this “work family” shit). 

If you’ve experienced being around EXTJs, did you find asynchronous rapport on your side? If so, what about the relations felt off to you? Do you think it’s the Te causing a barrier for you? I’m hypothesising at least on my side, it’s the Fe coming too strong on me, and the challenge of me trying to accept any of it as genuine. 

I felt like I understood/connected more with my former ESFJ boss, which hardly makes sense to me other than the potential that ESFJ is potentially the super ego of ENTJ..",https://www.personalitycafe.com//threads/enfj-do-you-struggle-to-connect-deeply-with-estj-entj.1377803/
